694, 406, 711, 424, 0.5516
476, 379, 489, 390, 0.4480
190, 740, 203, 752, 0.4375
472, 379, 489, 394, 0.2780
1286, 458, 1536, 568, 0.8828
1374, 524, 1483, 566, 0.8529
1721, 107, 1774, 122, 0.7540
1723, 147, 1768, 160, 0.7103
1712, 134, 1765, 148, 0.6968
1959, 227, 2005, 246, 0.6492
1970, 256, 2017, 269, 0.6017
1725, 120, 1770, 135, 0.5221
1969, 242, 2011, 256, 0.5069
1992, 268, 2016, 277, 0.4565
1958, 218, 1983, 229, 0.4324
2070, 62, 2090, 72, 0.4047
2312, 62, 2392, 135, 0.8429
3683, 281, 3690, 291, 0.5685
4176, 333, 4217, 416, 0.8872
5089, 721, 5257, 768, 0.8645
5826, 518, 5839, 541, 0.6828
5770, 58, 5781, 79, 0.6490
5689, 25, 5698, 44, 0.6109
5683, 709, 5692, 724, 0.4093
5683, 709, 5694, 728, 0.3603
6218, 448, 6460, 540, 0.8743
7430, 740, 7538, 762, 0.7950
7252, 39, 7282, 113, 0.6663
7317, 278, 7335, 304, 0.2673
138, 1502, 146, 1509, 0.4265
824, 1481, 843, 1498, 0.8025
1010, 1481, 1027, 1499, 0.8013
891, 1446, 911, 1462, 0.7728
816, 1358, 833, 1376, 0.7365
1108, 1376, 1120, 1388, 0.7357
1135, 1502, 1146, 1519, 0.6720
1397, 1395, 1408, 1416, 0.5411
1407, 1428, 1416, 1444, 0.5204
1409, 1453, 1418, 1473, 0.4194
1945, 1316, 1959, 1326, 0.5019
2980, 1291, 3025, 1318, 0.8584
2943, 1084, 3006, 1119, 0.8369
2526, 969, 2538, 974, 0.7268
2700, 850, 2709, 861, 0.6247
2627, 1284, 2636, 1294, 0.6021
2673, 1475, 2680, 1485, 0.5846
2583, 891, 2595, 900, 0.5569
3072, 1147, 3226, 1201, 0.8489
3874, 1389, 3930, 1462, 0.9026
3935, 1469, 3956, 1490, 0.7255
4741, 1056, 4973, 1254, 0.9084
4687, 769, 4709, 787, 0.5711
5425, 935, 5436, 948, 0.5298
6044, 878, 6063, 895, 0.5278
5837, 925, 5851, 939, 0.4253
5835, 925, 5852, 942, 0.3233
6383, 794, 6432, 835, 0.7989
6388, 785, 6436, 818, 0.7739
7553, 1036, 7679, 1091, 0.8496
231, 1581, 282, 1612, 0.8643
504, 2048, 546, 2107, 0.8549
494, 2037, 531, 2089, 0.8117
1195, 1925, 1209, 1939, 0.4161
1194, 1923, 1212, 1940, 0.2773
2127, 1816, 2180, 1849, 0.8257
1907, 1634, 1948, 1679, 0.7452
1898, 1640, 1947, 1695, 0.7176
